Metric,Training,Test
Accuracy,0.41442530755711776,0.41533335207940836
Precision,0.5006822047890206,0.1725017933495178
Recall,0.41442530755711776,0.41533335207940836
F1 Score,0.24286069849445793,0.24376136278577498
