Metric,Training,Test
Accuracy,0.41450263620386646,0.41533335207940836
Precision,0.3991730031119098,0.35929887963778767
Recall,0.41450263620386646,0.41533335207940836
F1 Score,0.246251242267498,0.24695122887253942
