Metric,Training,Test
Accuracy,0.4144182776801406,0.41533335207940836
Precision,0.41360687630996484,0.2851499862585558
Recall,0.4144182776801406,0.41533335207940836
F1 Score,0.24332472833050706,0.2441675459132629
