Metric,Training,Test
Accuracy,0.4130826010544815,0.4146444338216686
Precision,0.3330060730353682,0.3316417453492124
Recall,0.4130826010544815,0.4146444338216686
F1 Score,0.2688212101176786,0.27096761885003146
