Metric,Training,Test
Accuracy,0.41451669595782076,0.4154036498608104
Precision,0.29942109368686753,0.2978565345524649
Recall,0.41451669595782076,0.4154036498608104
F1 Score,0.24353427031282618,0.24437862731609425
