Starting Generator Model Training at Sat Apr 25 07:01:44 PM CDT 2026
Model: gan
Epochs: 20
Batch Size: 64
Learning Rate: 0.002
Data Fraction: 0.25
Process ID: 3030256
======================================================
Python Process PID: 3030270
2026-04-25 19:01:49,398 - INFO - Selected GPU: 1
2026-04-25 19:01:50,699 - INFO - Dataset size: 50649 images
2026-04-25 19:03:12,958 - INFO - Batch shape: torch.Size([64, 3, 64, 64])
2026-04-25 19:03:12,959 - INFO - Batch range: [0.00, 1.00]
2026-04-25 19:03:13,407 - INFO - Models and optimizers initialized
2026-04-25 19:03:13,407 - INFO - Starting GAN training...
Epoch [1/20] Batch [740/792] D_loss: 1.6923 G_loss: 0.7042
Epoch [1/20] Batch [750/792] D_loss: 1.6921 G_loss: 0.6920
Epoch [1/20] Batch [760/792] D_loss: 1.6920 G_loss: 0.7118
Epoch [1/20] Batch [770/792] D_loss: 1.6924 G_loss: 0.7054
Epoch [1/20] Batch [780/792] D_loss: 1.6937 G_loss: 0.6873
Epoch [1/20] Batch [790/792] D_loss: 1.6930 G_loss: 0.6899
Saving checkpoint at epoch 1...
Model saved to /home/sar0033/blindscrambler/scripts/models/models_gan_epoch_1.onnx
Epoch [2/20] Batch [0/792] D_loss: 1.6932 G_loss: 0.6864
Epoch [2/20] Batch [10/792] D_loss: 1.6951 G_loss: 0.6952
Epoch [2/20] Batch [20/792] D_loss: 1.6929 G_loss: 0.7040
Epoch [2/20] Batch [30/792] D_loss: 1.6926 G_loss: 0.6702
Epoch [2/20] Batch [40/792] D_loss: 1.6934 G_loss: 0.7188
Epoch [2/20] Batch [50/792] D_loss: 1.6951 G_loss: 0.6977
Epoch [2/20] Batch [60/792] D_loss: 1.6946 G_loss: 0.6912
Epoch [2/20] Batch [70/792] D_loss: 1.6931 G_loss: 0.6970
Epoch [2/20] Batch [80/792] D_loss: 1.6931 G_loss: 0.6910
Epoch [2/20] Batch [90/792] D_loss: 1.6947 G_loss: 0.7115
Epoch [2/20] Batch [100/792] D_loss: 1.6932 G_loss: 0.6728
Epoch [2/20] Batch [110/792] D_loss: 1.6947 G_loss: 0.7065
Epoch [2/20] Batch [120/792] D_loss: 1.6933 G_loss: 0.6774
Epoch [2/20] Batch [130/792] D_loss: 1.6947 G_loss: 0.7043
Epoch [2/20] Batch [140/792] D_loss: 1.6937 G_loss: 0.6931
Epoch [2/20] Batch [150/792] D_loss: 1.6927 G_loss: 0.6943
Epoch [2/20] Batch [160/792] D_loss: 1.6928 G_loss: 0.6870
Epoch [2/20] Batch [170/792] D_loss: 1.6928 G_loss: 0.6928
Epoch [2/20] Batch [180/792] D_loss: 1.6930 G_loss: 0.6910
Epoch [2/20] Batch [190/792] D_loss: 1.6930 G_loss: 0.6886
Epoch [2/20] Batch [200/792] D_loss: 1.6929 G_loss: 0.7084
Epoch [2/20] Batch [210/792] D_loss: 1.6928 G_loss: 0.6788
Epoch [2/20] Batch [220/792] D_loss: 1.6940 G_loss: 0.7178
Epoch [2/20] Batch [230/792] D_loss: 1.6935 G_loss: 0.6849
Epoch [2/20] Batch [240/792] D_loss: 1.6929 G_loss: 0.6989
Epoch [2/20] Batch [250/792] D_loss: 1.6935 G_loss: 0.6819
Epoch [2/20] Batch [260/792] D_loss: 1.6938 G_loss: 0.7110
Epoch [2/20] Batch [270/792] D_loss: 1.6933 G_loss: 0.6932
Epoch [2/20] Batch [280/792] D_loss: 1.6932 G_loss: 0.6899
